,Name,Address,Url,Sector
0,Hilcz és Fia Kft," 7122 Kakasd, Kossuth u. 8/0 ",http://www.hilcz.hu,Autó-motor alkatrész
1,Shokai Autó kft, 1144 Budapest Füredi u.72-76. ,http://www.mitsubishishop.hu,Autó-motor alkatrész
2,Zsombi Car," Budapest,1113. Zsombolyai u. 8. ",http://www.zsombishop.hu,Autó-motor alkatrész
3,Zsombi autósbolt, Budapest 1113 Zsombolyai u. 8 ,http://www.zsombishop.hu,Autó-motor alkatrész
4,   SHOKAI AUTÓ KFT., Budapest 1144 Füredi u.72-74 ,http://www.mitsubishiszerviz.hu,Autó-motor alkatrész
5,SPEEDS motoros webshpo, ,http://www.speeds.hu,Autó-motor alkatrész
6,Fékbetét kereső," TEL 06-30-2579721, 06-70-432-1972 ",http://www.fekbetetkereso.hu,Autó-motor alkatrész
7,Lanckereső," 1163 Budapest, Kerepesi út 178.  ",http://www.lanckereso.hu,Autó-motor alkatrész
8,M0 autóalkatrész webshop," 06-70-4321972, 06-30-257-9721 ",http://www.m0auto.hu,Autó-motor alkatrész
9,Daewoo Lanos bontó," 2360 Gyál, Vasút u. 6. ",http://www.lanosbonto.hu,Autó-motor alkatrész
10,SFM BIKES," 1163 Budapest, Kerepesi út 178. ",http://www.sfm-bikes.hu,Autó-motor alkatrész
11,SPEEDS  webshop," 1163 Budapest, Kerepesi út 178. ",http://www.speeds.hu,Autó-motor alkatrész
12,AP RACING fékbetétek  webáruháza, ,http://www.kretzler.hu,Autó-motor alkatrész
13,Szíjkereső webshop, ,http://www.robogoszij.hu/,Autó-motor alkatrész
14,Robogó gumik, ,http://www.xrmotor.hu,Autó-motor alkatrész
15,Peugeot motor alkatrészek," 1163 Budapest, Kerepesi út 178. ",http://www.peugeotmotor.hu,Autó-motor alkatrész
16,Mazda kereskedés," 7122 Kakasd, Kossuth L. u. 8/0 ",http://www.mazdakereskedes.hu,Autó-motor alkatrész
17,Hilcz és Fia Kft," 7122 Kakasd, Kossuth u. 8/0 ",http://www.hilcz.hu,Autófényezés
